Age,Gender,Occupation,"How familiar are you with biometric authentication methods (e.g., fingerprint, facial recognition)? ",How often do you use biometric authentication methods? ,Which biometric methods have you used? (Select all that apply)  ,How would you rate your overall experience with biometric authentication?  ,"How secure do you feel using biometric authentication compared to traditional methods (passwords, PINs)? ",Are you concerned about the potential misuse of your biometric data? ,Do you trust companies to handle your biometric data responsibly? ,Would you be willing to share your biometric data with third-party services for enhanced security? ,How likely are you to use biometric authentication for online transactions in the future? ,Which of the following do you believe is the biggest benefit of biometric authentication? ,Do you prefer biometric authentication over traditional methods for online security? ,How convenient do you find biometric authentication compared to traditional methods? ,How reliable do you find biometric authentication technology? ,Are you aware of any regulations governing the use of biometric data? ,What factors would increase your trust in biometric authentication systems? ,What improvements would you suggest for biometric authentication systems? ,What additional comments or concerns do you have regarding biometric authentication? 
18-25,Female,Student,Very familiar,Daily,"Fingerprint, Facial recognition, Voice recognition",Satisfied,More secure,Concerned,Agree,No,Likely,Convenience and speed,Prefer,More convenient,Very reliable,Aware,Improved technology,No suggestion ,No
18-25,Female,Employed,Very familiar,Daily,Fingerprint,Satisfied,More secure,Concerned,Agree,No,Very likely,Convenience and speed,Neutral,More convenient,Very reliable,Neutral,Stronger privacy policies,NA,NA
18-25,Male,Student,Somewhat familiar,Rarely,"Fingerprint, Facial recognition",Satisfied,More secure,Concerned,Agree,No,Likely,Enhanced security,Prefer,More convenient,Reliable,Aware,Improved technology,Nothing ,No
18-25,Female,Student,Somewhat familiar,Weekly,Facial recognition,Satisfied,More secure,Concerned,Strongly disagree,Yes,Very likely,Convenience and speed,Strongly prefer,Much more convenient,Not reliable,Very unaware,Better transparency from companies,Security ,Nothing 
18-25,Male,Student,Very familiar,Daily,"Fingerprint, Facial recognition",Very satisfied,More secure,Concerned,Strongly agree,No,Very likely,Enhanced security,Prefer traditional methods,More convenient,Very reliable,Aware,Better transparency from companies,They already providing good service ,Nothing 
18-25,Female,Student,Very familiar,Daily,Fingerprint,Satisfied,About the same,Concerned,Disagree,No,Neutral,Convenience and speed,Neutral,More convenient,Reliable,Aware,Better transparency from companies,No suggestions ,No comments 
18-25,Female,Student,Neutral,Daily,Fingerprint,Satisfied,More secure,Concerned,Agree,No,Likely,Convenience and speed,Strongly prefer,More convenient,Reliable,Aware,Stronger privacy policies,More security and validation and verification ,Nothing
18-25,Female,Student,Very familiar,Rarely,"Fingerprint, Facial recognition, Voice recognition",Satisfied,About the same,Concerned,Agree,Maybe,Neutral,Reduced risk of forgetting passwords,Neutral,About the same,Reliable,Unaware,Stronger privacy policies,Biometric should use for voting system ,Easy to give the access..
18-25,Female,Student,Somewhat familiar,Daily,"Fingerprint, Voice recognition",Neutral,More secure,Concerned,Agree,Maybe,Likely,Reduced risk of forgetting passwords,Prefer,About the same,Neutral,Aware,Stronger privacy policies,Strong encryption methods,Need to enhance biometric authentication in terms of accuracy
18-25,Female,Student,Very familiar,Daily,"Fingerprint, Facial recognition",Satisfied,More secure,Very concerned,Neutral,No,Likely,Convenience and speed,Neutral,More convenient,Reliable,Unaware,Stronger privacy policies,None,None
18-25,Female,Student,Somewhat familiar,Monthly,"Fingerprint, Facial recognition, Voice recognition",Satisfied,More secure,Neutral,Neutral,Maybe,Neutral,Reduced risk of forgetting passwords,Prefer,More convenient,Reliable,Neutral,Better transparency from companies,Nothing ,Privacy policies 
18-25,Female,Student,Very familiar,Daily,Fingerprint,Satisfied,More secure,Neutral,Neutral,Yes,Neutral,Convenience and speed,Prefer,More convenient,Reliable,Aware,Improved technology,......,..........
18-25,Female,Student,Somewhat familiar,Daily,"Fingerprint, Facial recognition",Satisfied,More secure,Neutral,Neutral,Maybe,Likely,Enhanced security,Prefer,More convenient,Reliable,Unaware,Stronger privacy policies,None.,None.
18-25,Female,Student,Very familiar,Daily,"Fingerprint, Facial recognition",Satisfied,Less secure,Concerned,Agree,Maybe,Unlikely,Convenience and speed,Prefer,Less convenient,Reliable,Aware,Stronger privacy policies,Nothing ,No
18-25,Female,Student,Very familiar,Daily,Fingerprint,Neutral,About the same,Concerned,Disagree,No,Neutral,Reduced risk of forgetting passwords,Prefer traditional methods,About the same,Reliable,Neutral,Better transparency from companies,NA,NA
36-45,Female,Self-employed,Somewhat familiar,Daily,"Fingerprint, Facial recognition, Iris scan, Voice recognition",Satisfied,About the same,Concerned,Agree,Maybe,Neutral,Reduced risk of forgetting passwords,Neutral,About the same,Reliable,Aware,Improved technology,"I suggest improving biometric authentication systems by enhancing accuracy, speed, and user privacy protections.",I worry about privacy and data security.
18-25,Female,Student,Somewhat familiar,Rarely,"Fingerprint, Facial recognition, Iris scan, Voice recognition",Very satisfied,Less secure,Neutral,Neutral,Maybe,Neutral,Difficulty for unauthorized access,Prefer traditional methods,About the same,Reliable,Aware,Better transparency from companies,"Enhance accuracy, privacy, and user convenience.",I worry about data security and misuse.
18-25,Female,Student,Somewhat familiar,Monthly,"Facial recognition, Voice recognition",Neutral,About the same,Neutral,Neutral,Maybe,Neutral,Convenience and speed,Neutral,About the same,Neutral,Neutral,Improved technology,"Increase reliability, privacy, and user-friendliness",Concerned about data breaches and privacy risks.
46-60,Male,Employed,Not very familiar,Rarely,Fingerprint,Neutral,Less secure,Slightly concerned,Disagree,Maybe,Likely,Convenience and speed,Neutral,Much more convenient,Not reliable,Unaware,Better transparency from companies,"Improve speed, accuracy, and privacy protections.",Worried about data breaches and privacy issues.
18-25,Female,Student,Very familiar,Daily,"Fingerprint, Facial recognition",Very satisfied,More secure,Very concerned,Neutral,No,Likely,Reduced risk of forgetting passwords,Prefer,More convenient,Reliable,Aware,Stronger privacy policies,Fraud detection ,.
18-25,Female,Student,Somewhat familiar,Monthly,Iris scan,Neutral,More secure,Neutral,Neutral,No,Neutral,Reduced risk of forgetting passwords,Prefer,More convenient,Not reliable,Unaware,Improved technology,"Enhance accuracy, privacy, user experience, and system integration.",Address privacy issues and system vulnerabilities comprehensively.
18-25,Female,Student,Very familiar,Weekly,"Fingerprint, Facial recognition",Satisfied,More secure,Neutral,Agree,No,Likely,Enhanced security,Prefer,More convenient,Neutral,Aware,Better transparency from companies,Improvement in speed of authentication ,Nothing
46-60,Male,Self-employed,Very familiar,Weekly,"Fingerprint, Facial recognition",Very satisfied,Much more secure,Concerned,Agree,No,Very likely,Convenience and speed,Strongly prefer,More convenient,Very reliable,Aware,Stronger privacy policies,No,No
46-60,Male,Retired,Not very familiar,Rarely,Fingerprint,Dissatisfied,Less secure,Neutral,Neutral,Maybe,Unlikely,Difficulty for unauthorized access,Strongly prefer traditional methods,Less convenient,Not reliable,Neutral,Government regulations,Enhance accuracy with advanced algorithms.,Address potential privacy concerns.
Under 18,Female,Student,Somewhat familiar,Daily,"Fingerprint, Facial recognition, Iris scan, Voice recognition",Satisfied,About the same,Concerned,Neutral,No,Very unlikely,Convenience and speed,Strongly prefer traditional methods,About the same,Neutral,Very aware,Better transparency from companies,Improve security with multi-factor authentication.,Ensure robust data protection measures.
26-35,Male,Employed,Very familiar,Daily,"Fingerprint, Iris scan",Satisfied,Less secure,Neutral,Neutral,No,Neutral,Convenience and speed,Prefer traditional methods,Less convenient,Neutral,Neutral,Better transparency from companies,Increase user privacy with encrypted data storage.,Manage user consent and data ownership.
18-25,Female,Student,Neutral,Monthly,Fingerprint,Neutral,About the same,Neutral,Neutral,No,Neutral,Reduced risk of forgetting passwords,Neutral,About the same,Neutral,Neutral,Improved technology,Nothing ,No
18-25,Female,Student,Neutral,Daily,"Fingerprint, Iris scan",Neutral,About the same,Neutral,Neutral,Maybe,Neutral,Reduced risk of forgetting passwords,Neutral,About the same,Neutral,Neutral,Improved technology,"Expand biometric options (retina, voice)",Prepare for potential biometric data breaches.
Under 18,Female,Student,Neutral,Weekly,Iris scan,Neutral,About the same,Neutral,Neutral,Maybe,Neutral,Convenience and speed,Neutral,About the same,Neutral,Neutral,Better transparency from companies,No suggestion ,No comments 
18-25,Male,Student,Neutral,Daily,"Fingerprint, Facial recognition, Iris scan, Voice recognition",Very satisfied,More secure,Concerned,Neutral,No,Likely,Difficulty for unauthorized access,Neutral,About the same,Neutral,Neutral,Improved technology,Reduce false positives and negatives.,Consider accessibility for users with disabilities.
Above 60,Female,Self-employed,Somewhat familiar,Weekly,Facial recognition,Satisfied,More secure,Concerned,Agree,Maybe,Likely,Convenience and speed,Prefer,More convenient,Reliable,Aware,Government regulations,Reduce false positives and negatives.,Consider accessibility for users with disabilities.
Under 18,Female,Student,Somewhat familiar,Daily,"Fingerprint, Iris scan",Satisfied,More secure,Slightly concerned,Neutral,Maybe,Neutral,Convenience and speed,Prefer,More convenient,Reliable,Neutral,Better transparency from companies,Improved technology ,It should be easier to use
26-35,Female,Employed,Neutral,Monthly,Fingerprint,Neutral,About the same,Concerned,Disagree,No,Unlikely,Reduced risk of forgetting passwords,Prefer traditional methods,Less convenient,Not reliable,Unaware,Improved technology,Better user interface ,Concerned about privacy.
18-25,Male,Student,Very familiar,Weekly,"Fingerprint, Facial recognition",Very satisfied,Much more secure,Neutral,Agree,Yes,Likely,Enhanced security,Strongly prefer,Much more convenient,Very reliable,Very aware,Government regulations,No suggestion ,Ensure no misuse data
36-45,Male,Self-employed,Somewhat familiar,Rarely,Voice recognition,Dissatisfied,Less secure,Very concerned,Strongly disagree,No,Very unlikely,Difficulty for unauthorized access,Strongly prefer traditional methods,Much less convenient,Not reliable,Unaware,Better transparency from companies,Better transparency from companies.,Need more security assurance.
18-25,Female,Student,Neutral,Monthly,Iris scan,Neutral,About the same,Neutral,Neutral,No,Neutral,Reduced risk of forgetting passwords,Neutral,About the same,Neutral,Neutral,Better transparency from companies,No,No
46-60,Female,Retired,Not very familiar,Never,None,Very dissatisfied,Much less secure,Very concerned,Strongly disagree,No,Very unlikely,Difficulty for unauthorized access,Strongly prefer traditional methods,Much less convenient,Not reliable at all,Very unaware,Government regulations,No suggestion ,Avoid using it.
Above 60,Male,Retired,Not familiar at all,Never,None,Very dissatisfied,Much less secure,Very concerned,Disagree,No,Unlikely,Difficulty for unauthorized access,Prefer traditional methods,Less convenient,Not reliable at all,Very unaware,Improved technology,Improved technology ,Too complicated to use.
Under 18,Female,Student,Somewhat familiar,Daily,"Fingerprint, Facial recognition, Iris scan, Voice recognition",Satisfied,More secure,Slightly concerned,Neutral,Maybe,Neutral,Convenience and speed,Prefer,More convenient,Reliable,Neutral,Better transparency from companies,No suggestion ,No comments 
26-35,Male,Employed,Somewhat familiar,Weekly,Iris scan,Satisfied,More secure,Neutral,Disagree,No,Likely,Reduced risk of forgetting passwords,Neutral,Less convenient,Neutral,Very aware,Better transparency from companies,No suggestion ,No comments 
18-25,Male,Student,Very familiar,Weekly,"Fingerprint, Facial recognition, Iris scan, Voice recognition",Very satisfied,Much more secure,Neutral,Agree,Yes,Likely,Enhanced security,Strongly prefer,Much more convenient,Very reliable,Very aware,Government regulations,Stronger privacy policies ,Ensure no misuse of data.
36-45,Female,Employed,Neutral,Monthly,Fingerprint,Neutral,About the same,Concerned,Disagree,No,Unlikely,Reduced risk of forgetting passwords,Prefer traditional methods,Less convenient,Not reliable,Unaware,Improved technology,Better user interface ,Concerned about privacy.
36-45,Male,Self-employed,Somewhat familiar,Rarely,Voice recognition,Dissatisfied,Less secure,Very concerned,Strongly disagree,No,Very unlikely,Difficulty for unauthorized access,Strongly prefer traditional methods,Much less convenient,Not reliable at all,Very unaware,Stronger privacy policies,Better transparency from companies.,Need more security assurance 
Under 18,Female,Student,Very familiar,Daily,"Fingerprint, Facial recognition, Iris scan, Voice recognition",Satisfied,More secure,Concerned,Strongly agree,No,Likely,Convenience and speed,Neutral,More convenient,Reliable,Aware,Improved technology,No suggestion ,No comments 
46-60,Female,Retired,Not very familiar,Never,None,Very dissatisfied,Much less secure,Very concerned,Strongly agree,No,Very unlikely,Difficulty for unauthorized access,Strongly prefer traditional methods,Much less convenient,Not reliable at all,Very unaware,Government regulations,No suggestion ,Avoid using it.
18-25,Female,Employed,Neutral,Monthly,"Fingerprint, Facial recognition, Iris scan, Voice recognition",Neutral,About the same,Neutral,Neutral,No,Neutral,Reduced risk of forgetting passwords,Neutral,About the same,Neutral,Neutral,Improved technology,No suggestion ,No comments 
18-25,Female,Student,Somewhat familiar,Rarely,Voice recognition,Neutral,About the same,Neutral,Neutral,Maybe,Neutral,Reduced risk of forgetting passwords,Neutral,About the same,Neutral,Neutral,Improved technology,No,No
Above 60,Male,Retired,Not familiar at all,Never,"Fingerprint, Facial recognition",Satisfied,Less secure,Concerned,Agree,Maybe,Likely,Convenience and speed,Prefer,More convenient,Reliable,Aware,Better transparency from companies,No suggestion ,Complicated to use
Under 18,Male,Student,Very familiar,Daily,Facial recognition,Very satisfied,Much more secure,Neutral,Agree,Yes,Likely,Enhanced security,Strongly prefer,Much more convenient,Very reliable,Very aware,Stronger privacy policies,No suggestion ,Great for security 
18-25,Female,Employed,Somewhat familiar,Weekly,"Fingerprint, Voice recognition",Satisfied,More secure,Slightly concerned,Neutral,Maybe,Neutral,Convenience and speed,Prefer,More convenient,Reliable,Neutral,Better transparency from companies,Stronger privacy policies.,Need more privacy assurances.
26-35,Male,Self-employed,Neutral,Monthly,Iris scan,Neutral,About the same,Concerned,Disagree,No,Unlikely,Reduced risk of forgetting passwords,Prefer traditional methods,Less convenient,Not reliable,Unaware,Improved technology,Better user interface ,Concerned about data misuse.
Under 18,Female,Student,Somewhat familiar,Daily,"Fingerprint, Facial recognition, Iris scan",Satisfied,More secure,Concerned,Agree,No,Neutral,Convenience and speed,Neutral,About the same,Neutral,Neutral,Improved technology,No suggestion ,No comments 
36-45,Female,Employed,Not very familiar,Rarely,None,Dissatisfied,Less secure,Very concerned,Strongly disagree,No,Very unlikely,Difficulty for unauthorized access,Strongly prefer traditional methods,Much less convenient,Not reliable at all,Very unaware,Government regulations,No suggestion ,Need more security features 
18-25,Female,Student,Very familiar,Daily,"Fingerprint, Facial recognition",Satisfied,More secure,Concerned,Disagree,No,Very likely,Convenience and speed,Strongly prefer,About the same,Reliable,Neutral,Better transparency from companies,Improved accuracy in facial recognition ,Concerned about data breaches
Under 18,Male,Student,Neutral,Weekly,Fingerprint,Neutral,About the same,Neutral,Neutral,Maybe,Neutral,Reduced risk of forgetting passwords,Neutral,About the same,Neutral,Neutral,Improved technology,Make it faster and easier ,Worried about hacking risks
Under 18,Male,Student,Somewhat familiar,Weekly,Facial recognition,Satisfied,Less secure,Concerned,Neutral,Maybe,Likely,Difficulty for unauthorized access,Prefer,More convenient,Neutral,Neutral,Stronger privacy policies,Improve accuracy for everyone ,Scared of losing privacy 
Under 18,Female,Student,Very familiar,Daily,"Fingerprint, Facial recognition, Iris scan, Voice recognition",Very satisfied,More secure,Concerned,Neutral,No,Likely,Reduced risk of forgetting passwords,Neutral,About the same,Neutral,Neutral,Government regulations,Add more safey features ,Don't trust with personal data
Under 18,Female,Student,Somewhat familiar,Weekly,Facial recognition,Satisfied,More secure,Concerned,Agree,Maybe,Likely,Convenience and speed,Prefer,More convenient,Reliable,Aware,Better transparency from companies,Make it more secure ,Concerns about data misuse 
46-60,Male,Retired,Very familiar,Daily,"Fingerprint, Facial recognition, Iris scan",Satisfied,More secure,Concerned,Agree,Maybe,Neutral,Reduced risk of forgetting passwords,Neutral,About the same,Reliable,Aware,Better transparency from companies,Easier use for all ages ,Too complicated for seniors 
Under 18,Female,Student,Somewhat familiar,Weekly,Facial recognition,Satisfied,About the same,Slightly concerned,Disagree,No,Neutral,Convenience and speed,Prefer traditional methods,Less convenient,Not reliable,Aware,Improved technology,Faster recognition speeds,Not sure it's safe
Under 18,Female,Student,Somewhat familiar,Monthly,"Fingerprint, Facial recognition",Satisfied,More secure,Concerned,Disagree,Maybe,Unlikely,Difficulty for unauthorized access,Prefer traditional methods,Less convenient,Not reliable,Unaware,Improved technology,Improve recognition in dark,Worried about hackers
Under 18,Male,Student,Not very familiar,Rarely,Facial recognition,Dissatisfied,Less secure,Slightly concerned,Disagree,No,Unlikely,Difficulty for unauthorized access,Prefer traditional methods,Less convenient,Neutral,Neutral,Improved technology,Better face recognition technology ,Don't like using biometrics
Under 18,Male,Student,Somewhat familiar,Weekly,Facial recognition,Satisfied,About the same,Neutral,Neutral,No,Neutral,Convenience and speed,Neutral,About the same,Neutral,Neutral,Improved technology,Add backup password option ,What if data gets stolen?
Under 18,Female,Student,Somewhat familiar,Daily,"Fingerprint, Facial recognition, Iris scan, Voice recognition",Satisfied,Less secure,Neutral,Disagree,Maybe,Neutral,Difficulty for unauthorized access,Strongly prefer traditional methods,About the same,Neutral,Neutral,Improved technology,Make it work faster,Worried about privacy issues 
Under 18,Male,Student,Somewhat familiar,Weekly,"Fingerprint, Facial recognition",Satisfied,More secure,Slightly concerned,Neutral,Maybe,Neutral,Reduced risk of forgetting passwords,Neutral,About the same,Neutral,Neutral,Improved technology,Less errors during use,Scared for privacy 
Under 18,Male,Student,Somewhat familiar,Daily,"Fingerprint, Facial recognition",Neutral,Less secure,Slightly concerned,Neutral,No,Neutral,Reduced risk of forgetting passwords,Neutral,More convenient,Reliable,Neutral,Improved technology,Add more privacy protections,Worried about misuse 
Under 18,Male,Student,Somewhat familiar,Weekly,Fingerprint,Satisfied,Less secure,Neutral,Neutral,Maybe,Neutral,Convenience and speed,Prefer,Less convenient,Neutral,Neutral,Better transparency from companies,Improve speed and reliability ,Don't fully trust it
Under 18,Female,Student,Neutral,Weekly,Fingerprint,Neutral,About the same,Neutral,Neutral,Maybe,Neutral,Difficulty for unauthorized access,Neutral,About the same,Neutral,Neutral,Stronger privacy policies,Improve sensor accuracy ,Concerns about data storage
26-35,Female,Employed,Somewhat familiar,Daily,"Fingerprint, Facial recognition, Iris scan",Satisfied,Less secure,Slightly concerned,Neutral,No,Neutral,Reduced risk of forgetting passwords,Strongly prefer traditional methods,About the same,Neutral,Aware,Better transparency from companies,More options for everyone ,Not comfortable using it
Above 60,Male,Retired,Neutral,Rarely,"Facial recognition, Voice recognition",Satisfied,About the same,Neutral,Neutral,Maybe,Neutral,Reduced risk of forgetting passwords,Neutral,About the same,Neutral,Neutral,Improved technology,Make it easier to use,Worried about data safety 
26-35,Male,Employed,Very familiar,Daily,"Fingerprint, Facial recognition, Iris scan",Satisfied,Less secure,Neutral,Neutral,No,Neutral,Difficulty for unauthorized access,Neutral,About the same,Neutral,Neutral,Better transparency from companies,Make it less error prone,Prefer using traditional methods like PIN & PASSWORDS
36-45,Male,Employed,Somewhat familiar,Weekly,"Fingerprint, Iris scan",Neutral,About the same,Neutral,Neutral,No,Neutral,Reduced risk of forgetting passwords,Neutral,About the same,Neutral,Neutral,Improved technology,Make it faster ,No comments 
26-35,Female,Unemployed,Neutral,Weekly,"Fingerprint, Facial recognition",Neutral,More secure,Neutral,Disagree,No,Neutral,Convenience and speed,Neutral,About the same,Neutral,Neutral,Improved technology,No suggestion ,No comments 
Under 18,Female,Student,Somewhat familiar,Weekly,"Fingerprint, Facial recognition",Satisfied,More secure,Neutral,Neutral,Maybe,Neutral,Reduced risk of forgetting passwords,Prefer,About the same,Neutral,Neutral,Improved technology,Make it easier for all ages group ,Feels risky for privacy 
18-25,Male,Employed,Neutral,Daily,"Fingerprint, Facial recognition, Iris scan",Neutral,About the same,Neutral,Neutral,Maybe,Neutral,Reduced risk of forgetting passwords,Neutral,About the same,Neutral,Neutral,Improved technology,Faster recognition time,Enhance security 
Under 18,Female,Student,Somewhat familiar,Weekly,Fingerprint,Satisfied,Less secure,Slightly concerned,Disagree,No,Unlikely,Difficulty for unauthorized access,Prefer traditional methods,Less convenient,Not reliable,Unaware,Improved technology,Better accuracy in low light ,Concerned about data theft
Under 18,Female,Student,Somewhat familiar,Monthly,Facial recognition,Dissatisfied,More secure,Neutral,Neutral,No,Neutral,Convenience and speed,Neutral,Less convenient,Reliable,Neutral,Stronger privacy policies,NA,Offer better backup methods
Under 18,Female,Student,Somewhat familiar,Daily,"Fingerprint, Facial recognition",Satisfied,More secure,Neutral,Agree,Maybe,Neutral,Convenience and speed,Prefer,About the same,Reliable,Aware,Improved technology,Speed up recognition process,Not sure how data is used
18-25,Female,Unemployed,Neutral,Monthly,Fingerprint,Neutral,About the same,Neutral,Neutral,Maybe,Neutral,Convenience and speed,Neutral,About the same,Neutral,Neutral,Improved technology,Add more backup options ,Fear about data misuse 
26-35,Male,Employed,Very familiar,Daily,"Fingerprint, Facial recognition, Voice recognition",Satisfied,Less secure,Neutral,Agree,No,Likely,Difficulty for unauthorized access,Prefer,More convenient,Neutral,Aware,Better transparency from companies,More customisable settings ,Worried about privacy invasion 
46-60,Female,Unemployed,Neutral,Daily,"Fingerprint, Facial recognition, Iris scan, Voice recognition",Neutral,About the same,Neutral,Neutral,No,Neutral,Reduced risk of forgetting passwords,Neutral,About the same,Neutral,Neutral,Improved technology,Faster and more reliable systems ,Questionable data protection policies
Under 18,Female,Student,Somewhat familiar,Daily,"Fingerprint, Facial recognition",Satisfied,More secure,Neutral,Neutral,No,Neutral,Convenience and speed,Neutral,About the same,Neutral,Neutral,Improved technology,Make it faster for unlocking ,I'm worried about hackers stealing my data
Under 18,Male,Student,Neutral,Weekly,"Fingerprint, Facial recognition, Iris scan, Voice recognition",Neutral,About the same,Neutral,Neutral,Maybe,Neutral,Reduced risk of forgetting passwords,Neutral,About the same,Neutral,Neutral,Improved technology,Improve accuracy in poor lighting ,I don't like sharing my face for online stuff 
Under 18,Male,Student,Somewhat familiar,Daily,Facial recognition,Satisfied,Less secure,Concerned,Neutral,No,Neutral,Difficulty for unauthorized access,Neutral,About the same,Neutral,Aware,Improved technology,Add more backup methods like passwords,Not confident in tech reliability 
Under 18,Male,Student,Somewhat familiar,Weekly,Fingerprint,Neutral,About the same,Neutral,Neutral,Maybe,Neutral,Reduced risk of forgetting passwords,Neutral,About the same,Neutral,Neutral,Improved technology,Better facial recognition ,I think my information could be used against me
Under 18,Female,Student,Somewhat familiar,Monthly,Iris scan,Neutral,Less secure,Slightly concerned,Disagree,No,Unlikely,Reduced risk of forgetting passwords,Neutral,Less convenient,Not reliable,Unaware,Improved technology,Make it work even with wet fingers,Nocomments
Above 60,Male,Retired,Very familiar,Daily,"Fingerprint, Facial recognition, Iris scan, Voice recognition",Satisfied,About the same,Neutral,Neutral,Maybe,Neutral,Reduced risk of forgetting passwords,Prefer,About the same,Neutral,Neutral,Improved technology,Make the technology easier for seniors to understand,concerned about how my biometric data is used
18-25,Female,Student,Very familiar,Daily,Fingerprint,Satisfied,Less secure,Neutral,Neutral,No,Neutral,Convenience and speed,Prefer traditional methods,About the same,Neutral,Neutral,Government regulations,Improve speed for better usability,concerned about privacy
Above 60,Female,Unemployed,Somewhat familiar,Rarely,"Facial recognition, Voice recognition",Neutral,About the same,Neutral,Neutral,Maybe,Neutral,Difficulty for unauthorized access,Neutral,About the same,Neutral,Neutral,Improved technology,Improve fingerprint recognition for aging skin,don’t trust companies to handle my information safely
Under 18,Female,Student,Very familiar,Daily,Facial recognition,Satisfied,About the same,Concerned,Neutral,No,Neutral,Difficulty for unauthorized access,Neutral,About the same,Neutral,Neutral,Improved technology,Easier for younger people to set up,NO COMMENTS
26-35,Male,Employed,Very familiar,Daily,"Fingerprint, Facial recognition, Iris scan, Voice recognition",Satisfied,Less secure,Very concerned,Disagree,No,Unlikely,Reduced risk of forgetting passwords,Strongly prefer traditional methods,Less convenient,Reliable,Aware,Better transparency from companies,Improve facial recognition under low light conditions,I’m worried about how companies store my data
46-60,Female,Retired,Neutral,Monthly,Fingerprint,Neutral,About the same,Neutral,Neutral,No,Neutral,Convenience and speed,Neutral,About the same,Neutral,Neutral,Improved technology,Improve ease of use for older people,no comments
18-25,Male,Student,Very familiar,Daily,"Fingerprint, Facial recognition",Very satisfied,Much more secure,Concerned,Neutral,No,Likely,Convenience and speed,Prefer,Much more convenient,Very reliable,Aware,Improved technology,For example I suggest that biometric authorities is there for beta users,Additional comment is to have more advance
36-45,Male,Self-employed,Somewhat familiar,Weekly,"Fingerprint, Iris scan",Neutral,About the same,Neutral,Neutral,Maybe,Neutral,Reduced risk of forgetting passwords,Neutral,About the same,Neutral,Neutral,Improved technology,NA,worry about how my biometric data is stored long-term
Under 18,Male,Student,Very familiar,Daily,"Fingerprint, Iris scan",Satisfied,Less secure,Neutral,Disagree,No,Neutral,Reduced risk of forgetting passwords,Neutral,More convenient,Neutral,Neutral,Better transparency from companies,Combine face and fingerprint for extra safety....,unsure if it’s safer than passwords
18-25,Male,Employed,Somewhat familiar,Weekly,Fingerprint,Neutral,About the same,Neutral,Neutral,No,Neutral,Convenience and speed,Neutral,About the same,Neutral,Neutral,Better transparency from companies,Offer more privacy settings for users,I’m afraid my biometric info could be stolen
18-25,Female,Student,Very familiar,Daily,"Fingerprint, Iris scan",Neutral,About the same,Neutral,Neutral,No,Neutral,Reduced risk of forgetting passwords,Neutral,About the same,Neutral,Neutral,Improved technology,no suggestion,I wish it had better privacy guarantees
18-25,Male,Student,Somewhat familiar,Daily,Facial recognition,Satisfied,About the same,Concerned,Agree,Maybe,Neutral,Reduced risk of forgetting passwords,Neutral,About the same,Reliable,Neutral,Better transparency from companies,Improve facial recognition for people with glasses,no comments
46-60,Female,Unemployed,Neutral,Rarely,Fingerprint,Neutral,About the same,Neutral,Neutral,No,Neutral,Reduced risk of forgetting passwords,Neutral,About the same,Neutral,Neutral,Improved technology,no suggestion,no comment or concern
26-35,Male,Employed,Very familiar,Daily,Fingerprint,Satisfied,Less secure,Neutral,Neutral,No,Unlikely,Enhanced security,Prefer traditional methods,Less convenient,Reliable,Aware,Government regulations,Make the system more reliable for diverse demographics,I hope companies are transparent about their data handling practices
Above 60,Male,Retired,Somewhat familiar,Monthly,Facial recognition,Neutral,About the same,Neutral,Neutral,Maybe,Neutral,Reduced risk of forgetting passwords,Neutral,About the same,Neutral,Neutral,Improved technology,Make it easier to use for older people,no comments
